"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 04 21:13:30 ICT 2022","Fri Feb 04 21:13:34 ICT 2022","3910","","Home","","Home","Find heading element & assert the text","Find heading element & assert the text",""
"passed","Fri Feb 04 21:13:01 ICT 2022","Fri Feb 04 21:13:19 ICT 2022","18706","","Input contact","","Input contact","Fill all the input fields and submit form & Asser the success message","Fill all the input fields and submit form & Asser the success message",""
"passed","Fri Feb 04 21:13:01 ICT 2022","Fri Feb 04 21:13:11 ICT 2022","10561","","Blog Menu","","Blog Menu","Get the list of all Recent Posts & assert the lenght of each list item > 1 & assert the total","Get the list of all Recent Posts & assert the lenght of each list item > 1 & assert the total",""
"passed","Fri Feb 04 21:13:29 ICT 2022","Fri Feb 04 21:13:30 ICT 2022","713","","Home","","Home","Click on Logo button & assert the URL doesn't contain 'get-started' text","Click on Logo button & assert the URL doesn't contain 'get-started' text",""
"failed","Fri Feb 04 21:13:31 ICT 2022","Fri Feb 04 21:13:44 ICT 2022","12828","","Navigation Menu","","Navigation Menu","Get the text of all menu item & assert them - using wait commands","Get the text of all menu item & assert them - using wait commands",""
"passed","Fri Feb 04 21:13:15 ICT 2022","Fri Feb 04 21:13:21 ICT 2022","6472","","Home","","Home","Open URL & assert title","Open URL & assert title",""
"passed","Fri Feb 04 21:13:01 ICT 2022","Fri Feb 04 21:13:17 ICT 2022","16334","","Bibit login","","Bibit login","Get the text of all menu item & assert them","Get the text of all menu item & assert them",""
"passed","Fri Feb 04 21:13:01 ICT 2022","Fri Feb 04 21:13:20 ICT 2022","19517","","Contact","","Contact","Fill all the input fields and submit form & Asser the success message","Fill all the input fields and submit form & Asser the success message",""
"passed","Fri Feb 04 21:13:23 ICT 2022","Fri Feb 04 21:13:33 ICT 2022","10447","","Upload Test","","Upload Test","Simple Upload test","Simple Upload test",""
"passed","Fri Feb 04 21:13:15 ICT 2022","Fri Feb 04 21:13:27 ICT 2022","11576","","IFrame","","IFrame","Working with iframe","Working with iframe",""
"passed","Fri Feb 04 21:13:29 ICT 2022","Fri Feb 04 21:13:29 ICT 2022","592","","Home","","Home","Click get started btn & asser url contains get-started text","Click get started btn & asser url contains get-started text",""
"passed","Fri Feb 04 21:13:21 ICT 2022","Fri Feb 04 21:13:29 ICT 2022","7117","","Home","","Home","Open About Page & assert URL","Open About Page & assert URL",""
"passed","Fri Feb 04 21:13:33 ICT 2022","Fri Feb 04 21:13:46 ICT 2022","12446","","Upload Test","","Upload Test","Upload on a hidden input field","Upload on a hidden input field",""
"passed","Fri Feb 04 21:13:20 ICT 2022","Fri Feb 04 21:13:31 ICT 2022","11056","","Navigation Menu","","Navigation Menu","Get the text of all menu item & assert them","Get the text of all menu item & assert them",""
